name,season,competition,nation,position,team,age,year_born,matches,starts,minutes,full_games,goals,assists,G+A,non-PK_goals,PK_goals,PK_att,yellow_cards,red_cards,xG,xG_nonpenalty,xGnp+xGA,xGA,progressive_carries,progressive_passes
Issa Diop,24/25,Premier League,FRA,DF,Fulham,27,1997,21,15,"1,339",14.9,0,0,0,0,0,0,2,0,0.5,0.5,0.6,0.1,6,25
Axel Disasi,24/25,Premier League,FRA,DF,Aston Villa,26,1998,7,5,490,5.4,0,0,0,0,0,0,2,0,0.1,0.1,0.5,0.4,10,16
Axel Disasi,24/25,Premier League,FRA,DF,Chelsea,26,1998,6,4,364,4.0,1,0,1,1,0,0,1,0,0.3,0.3,0.4,0.1,6,16
Roman Dixon,24/25,Premier League,ENG,DF,Everton,19,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Nasser Djiga,24/25,Premier League,BFA,DF,Wolves,21,2002,5,1,66,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3
Matt Doherty,24/25,Premier League,IRL,DF,Wolves,32,1992,30,25,"2,109",23.4,2,1,3,2,0,0,6,0,1.0,1.0,2.6,1.5,29,79
Jeremy Doku,24/25,Premier League,BEL,"FW,MF",Manchester City,22,2002,29,16,"1,516",16.8,3,6,9,3,0,0,1,0,1.3,1.3,6.1,4.8,213,69
Nicolás Domínguez,24/25,Premier League,ARG,"MF,FW",Nott'ham Forest,26,1998,34,23,"1,963",21.8,0,1,1,0,0,0,9,0,1.5,1.5,2.8,1.3,16,83
Patrick Dorgu,24/25,Premier League,DEN,DF,Manchester Utd,19,2004,12,10,842,9.4,0,0,0,0,0,0,3,1,0.4,0.4,1.2,0.7,41,34
Alfie Dorrington,24/25,Premier League,ENG,DF,Tottenham,19,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0
Abdoulaye Doucouré,24/25,Premier League,MLI,MF,Everton,31,1993,33,31,"2,564",28.5,3,2,5,3,0,0,5,1,4.1,4.1,6.6,2.4,42,82
Cheick Doucouré,24/25,Premier League,MLI,MF,Crystal Palace,24,2000,13,4,452,5.0,0,0,0,0,0,0,1,0,0.4,0.4,0.4,0.0,2,19
Flynn Downes,24/25,Premier League,ENG,MF,Southampton,25,1999,27,25,"2,151",23.9,1,0,1,1,0,0,12,0,0.6,0.6,1.7,1.1,29,66
